Variable,Estimate,Std. Error,t value,p_value,significance
ADHD9_difficulty_hold_still9,-0.0024,0.0049,-0.49,0.624,
ADHD9_fail_close_attention9,0.0025,0.0053,0.467,0.641,
ADHD9_often_blurt_out9,-0.0021,0.0046,-0.461,0.645,
SUD15_Alcohol15:SEX,0.0017,0.0038,0.455,0.649,
SUD15_Painkillers_opioids15:SCZ15_PROD_seen_hallucinations9,0.0065,0.0146,0.445,0.657,
SCZ15_Others_Read_thoughts15,0.0013,0.0029,0.441,0.659,
SES_education_mother,9e-4,0.0021,0.436,0.663,
ADHD9_talk_excess9,0.005,0.0117,0.431,0.666,
SUD15_Cigarettes15:SCZ15_worry15,-0.0013,0.003,-0.419,0.675,
factor(batch)GSA3:PC1,-0.2581,0.6215,-0.415,0.678,
SCZ15_Not_tired15,-9e-4,0.0022,-0.394,0.694,
SUD15_Cannabis15:ADHD9_often_blurt_out9,0.0067,0.0183,0.365,0.715,
SUD15_Snuff15:ADHD9_difficulty_with_attention9,0.0028,0.0079,0.36,0.719,
SUD15_Cigarettes15:ADHD9_fail_close_attention9,-0.002,0.0058,-0.352,0.725,
ACE15_bullying_time15,8e-4,0.0025,0.344,0.731,
ACE15_bullied_often15,-0.0014,0.0042,-0.342,0.732,
ADHD9_easily_distracted9,0.0015,0.0046,0.334,0.738,
PRS_LAMP5_LHX6_and_Chandelier,-0.0065,0.0194,-0.333,0.739,
SCZ15_easily_scared15,-0.001,0.0029,-0.328,0.743,
PRS_Medium_spiny_neuron,-0.0064,0.0196,-0.328,0.743,
SUD15_Snuff15:PRS_Cerebellar_inhibitory,0.0108,0.0332,0.325,0.745,
ADHD9_often_move9,0.0019,0.0061,0.308,0.758,
SUD15_Alcohol15:ASD9_strange_movements9,-0.0023,0.0076,-0.307,0.759,
SUD15_Snuff15:SCZ15_Others_Read_thoughts15,-0.0016,0.0056,-0.283,0.777,
ASD9_difficulty_express9,-0.0045,0.016,-0.281,0.779,
SUD15_Alcohol15:ADHD9_talk_excess9,9e-4,0.0032,0.276,0.782,
SUD15_Cannabis15:PRS_Deep_layer_corticothalamic,0.0152,0.056,0.271,0.786,
SUD15_OtherDrugs15:SES_education_mother,0.0015,0.0058,0.259,0.796,
SUD15_OtherDrugs15:SCZ15_Too_much_energy15,0.0016,0.0063,0.258,0.796,
ADHD9_often_lose_things9,0.0011,0.0043,0.257,0.797,
SUD15_Painkillers_opioids15:SEX,-0.0019,0.0077,-0.251,0.802,
SUD15_Cannabis15:ADHD9_difficulty_hold_still9,-0.0039,0.0174,-0.228,0.82,
PRS_Eccentric_medium_spiny_neu,0.0042,0.0188,0.222,0.825,
SUD15_OtherDrugs15:ASD9_easily_influenced9,-0.0021,0.0098,-0.218,0.827,
SCZ15_Special_powers15,0.0013,0.0061,0.204,0.838,
SUD15_Cannabis15:ADHD9_difficulty_following_instructions9,0.0043,0.021,0.204,0.839,
SUD15_Cigarettes15,0.003,0.0153,0.2,0.842,
PRS_Hippocampal_dentate_gyrus,0.0117,0.0599,0.196,0.845,
SUD15_Snuff15:PRS_Thalamic_excitatory,-0.0056,0.0301,-0.185,0.854,
SUD15_OtherDrugs15:ADHD9_often_run9,-0.0023,0.0126,-0.184,0.854,
SUD15_Alcohol15:SES_birth_country_father,6e-4,0.0033,0.173,0.863,
SUD15_Cigarettes15:ASD9_delay_language9,-0.0011,0.0062,-0.172,0.863,
PRS_Cerebellar_inhibitory,-0.003,0.0182,-0.165,0.869,
factor(batch)GSA3:PC2,0.1003,0.6265,0.16,0.873,
SUD15_Alcohol15:ACE18_hate_crime18,-0.0016,0.0099,-0.159,0.874,
SUD15_Painkillers_opioids15:SES_birth_country_mother,-0.0017,0.0107,-0.157,0.875,
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.0022,0.0176,-0.126,0.9,
ASD9_own_terms9,0.001,0.0076,0.125,0.9,
ASD9_absorbed_problems9,-0.0011,0.0101,-0.109,0.913,
ASD9_difficulty_expect_behavior9,-0.0011,0.0103,-0.109,0.913,
ADHD9_often_motor9,-8e-4,0.0073,-0.105,0.917,
SUD15_Cigarettes15:PRS_Hippocampal_CA1_3,-0.0019,0.0232,-0.081,0.935,
SCZ15_worry15,-2e-4,0.0029,-0.078,0.938,
ADHD9_difficulty_calm9,-6e-4,0.0093,-0.06,0.952,
ADHD9_often_run9,3e-4,0.0055,0.056,0.955,
PRS_Hippocampal_CA4,0.001,0.0193,0.05,0.96,
SUD15_Alcohol15:PRS_Hippocampal_dentate_gyrus,-5e-4,0.0163,-0.029,0.977,
SUD15_Snuff15:ADHD9_easily_distracted9,-2e-4,0.0079,-0.027,0.978,
factor(batch)GSA1:PC1,0.0043,0.2491,0.017,0.986,
ADHD9_difficulty_with_attention9,-1e-4,0.0057,-0.009,0.993,
SUD15_Cannabis15:SCZ15_Rage_attacks15,1e-4,0.0091,0.008,0.994,
