number,value,datetime_start,datetime_complete,duration,params_base_loss,params_batch_size,params_dropout,params_early_stopping_patience,params_focal_gamma,params_hidden_dim_min,params_huber_delta,params_layers_ACE15,params_layers_ACE18,params_layers_ADHD9,params_layers_ASD9,params_layers_PRS,params_layers_SCZ15,params_layers_SES,params_layers_SEX,params_layers_SUD18,params_learning_rate,params_n_bins,params_num_epochs,params_scheduler_factor,params_scheduler_patience,params_se_reduction,params_weight_decay,state
39,0.19703160937077588,2026-04-29 01:43:54.949313,2026-04-29 01:44:03.138022,0 days 00:00:08.188709,huber,32,0.10016952365092249,7,2.6782255316207255,15,0.057746718367746676,3,4,3,3,4,1,4,1,4,0.0001166685580097547,7,20,0.5611365424715562,4,2,0.0018943274084774779,PRUNED
40,0.1651681192277982,2026-04-29 01:44:03.138806,2026-04-29 01:44:44.331080,0 days 00:00:41.192274,mse,6,0.4907411356741483,7,2.040539922492071,14,0.03374462700298418,3,5,2,2,4,1,5,2,4,0.00032053358191503424,8,16,0.6389605915351366,5,3,0.006229089657212847,PRUNED
41,0.15126514687042436,2026-04-29 01:44:44.331836,2026-04-29 01:46:18.993291,0 days 00:01:34.661455,huber,4,0.1267053620148346,6,2.355594830007651,12,0.12656500914014873,4,3,3,2,3,1,4,3,3,0.0006710797407028345,8,17,0.6775996052955838,4,5,0.0010782134353083132,COMPLETE
42,0.15937956448170815,2026-04-29 01:46:18.994138,2026-04-29 01:47:06.776532,0 days 00:00:47.782394,huber,4,0.12025870371773949,8,2.7640361259376536,14,0.08441787227955286,3,3,3,3,3,1,4,3,3,4.850129428695886e-05,7,18,0.6162607465816213,4,4,0.003924745287397815,PRUNED
43,0.14872078466416302,2026-04-29 01:47:06.777277,2026-04-29 01:48:45.025335,0 days 00:01:38.248058,huber,4,0.16830347868725495,7,2.5964856043597013,12,0.11085942683213426,4,3,3,2,3,1,4,2,3,0.0013526846828421939,6,15,0.650984329009181,4,5,0.002266470903559869,COMPLETE
44,0.14915333857033589,2026-04-29 01:48:45.026182,2026-04-29 01:50:29.416791,0 days 00:01:44.390609,huber,4,0.1637056739718905,7,2.6200783288819283,12,0.11039761039741915,3,3,3,2,3,5,4,2,3,0.0015319735313714586,6,12,0.6495205761193866,4,5,0.002197885365057158,COMPLETE
45,0.14859286133533534,2026-04-29 01:50:29.417595,2026-04-29 01:52:00.260504,0 days 00:01:30.842909,huber,4,0.16942739691825,6,2.621222199791358,12,0.11342940939507345,3,4,2,2,4,5,5,2,3,0.0014225362826088552,5,11,0.6470635536336694,4,6,0.004227430208465582,COMPLETE
46,0.1499841137758689,2026-04-29 01:52:00.261328,2026-04-29 01:52:47.002675,0 days 00:00:46.741347,huber,8,0.2726884537666697,6,2.857977217823147,12,0.08412875509190909,3,4,1,3,5,4,5,1,3,0.0014360868694205618,5,10,0.6333143509679909,5,6,0.0037399122774695545,COMPLETE
47,0.15012414657539186,2026-04-29 01:52:47.003492,2026-04-29 01:54:37.715866,0 days 00:01:50.712374,mse,4,0.17381052354078272,6,2.196299713450148,10,0.11836099895221643,3,4,2,2,4,5,5,2,3,0.0003988052678384391,5,12,0.6959611479845923,4,4,0.0099452730853002,COMPLETE
48,0.14892003407879917,2026-04-29 01:54:37.718975,2026-04-29 01:56:35.833544,0 days 00:01:58.114569,huber,4,0.20491011412297122,8,2.8071904954015556,16,0.06956963310883243,2,5,1,2,4,4,5,2,3,0.001164550150197739,6,14,0.5718202536100057,5,6,0.0014107151245982637,COMPLETE
49,0.1486674710742538,2026-04-29 01:56:35.834339,2026-04-29 01:57:44.931263,0 days 00:01:09.096924,huber,6,0.20737800771682857,8,2.6064258403083027,16,0.06916840943310143,1,5,1,3,5,5,5,1,3,0.00241908551979142,6,11,0.5640469400303489,5,6,0.0012848322595293187,COMPLETE
