Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
PRS_Upper_layer_intratelenceph,-0.051,0.0283,0.0599,-0.849,0.434,0.345,0.19699303138909374,0.8140295449957271,0,5,0,
ASD9_difficulty_on_track9,0.0054,0.003,0.0065,0.839,0.44,0.363,0.16956766844206883,0.8196570182679568,0,5,0,
SUD15_Alcohol15:ASD9_uninterested_sharing9,-0.0085,0.0092,0.0142,-0.651,0.441,0.382,0.20774425110301808,0.6850789257818997,0,5,0,
factor(batch)GSA1:PC2,-0.4018,0.1693,0.4996,-0.809,0.442,0.563,0.19938227446400858,0.5962878723977649,0,5,0,
ADHD9_difficulty_hold_still9,0.003,0.0031,0.005,0.584,0.443,0.464,0.2987771014951639,0.6240814110623945,0,5,0,
PRS_Eccentric_medium_spiny_neu,-0.0072,0.0163,0.0182,-0.399,0.455,0.426,0.17720458642242676,0.8246732651246034,0,5,0,
SUD15_Painkillers_opioids15:SEX,-0.0068,0.0051,0.0077,-0.897,0.457,0.624,0.09207497609463022,0.8016998297475544,0,5,0,
SUD15_Snuff15:SCZ15_Others_Read_thoughts15,-0,0.0046,0.0052,-0.004,0.46,0.386,0.332622641930999,0.7768231065491331,0,5,0,
PRS_Hippocampal_CA1_3,-0.017,0.0108,0.0207,-0.822,0.46,0.389,0.1049154224806399,0.7779059060222773,0,5,0,
SUD15_OtherDrugs15,-0.0234,0.0144,0.0286,-0.818,0.46,0.539,0.10427380507024187,0.7627524595996937,0,5,0,
SCZ15_Irritable15,-0.0057,0.0064,0.0088,-0.64,0.461,0.447,0.1456909096709882,0.7555046719515728,0,5,0,
SUD15_Cannabis15:SCZ15_Rage_attacks15,0.0068,0.0075,0.0092,0.74,0.461,0.281,0.11831828580682124,0.9936550232641834,0,5,0,
SUD15_Cannabis15:ACE15_rumours_bullying15,0.0054,0.009,0.011,0.535,0.463,0.487,0.1160653989639131,0.7684411595289782,0,5,0,
SCZ15_unhappy15,-0.003,0.0019,0.0037,-0.813,0.466,0.563,0.09355394361094493,0.7022218420974751,0,5,0,
SCZ15_PROD_seen_hallucinations9,0.0078,0.0047,0.0098,0.786,0.466,0.414,0.15695749211696808,0.7936259602418014,0,5,0,
SCZ15_Under_control_special_power15,0.002,0.0035,0.0045,0.457,0.471,0.448,0.22503329633337854,0.8166596655333054,0,5,0,
