Variable,Estimate_mean,Estimate_std,StdError_mean,t_value_mean,p_value_mean,p_value_median,p_value_min,p_value_max,n_significant,n_seeds_present,pct_significant,significance
SUD15_Snuff15:ASD9_difficulty_socialize9,-0.0509,0.0181,0.0351,-1.557,0.199,0.0702,0.014699649717795804,0.5563858976692133,1,5,20,
PRS_Deep_layer_intratelencepha,-0.0481,0.0116,0.0364,-1.32,0.203,0.201,0.06872703565660343,0.33726867957750173,0,5,0,
SUD15_Cannabis15:SCZ15_Unrealistic_abilities15,-0.0432,0.016,0.0308,-1.418,0.205,0.154,0.025232367069479622,0.506649043493776,1,5,20,
ADHD9_difficulty_organizing_tasks9,-0.0172,0.0073,0.0123,-1.401,0.22,0.13,0.02828661272468258,0.4928698793748336,1,5,20,
SUD15_Alcohol15:SCZ15_lose_confidence15,0.0061,0.0027,0.0043,1.391,0.223,0.217,0.030215160142688546,0.5585745113935721,1,5,20,
SCZ15_Hear_voices15,0.0161,0.0052,0.0128,1.27,0.237,0.297,0.057896183967042436,0.4072597669852511,0,5,0,
SUD15_Painkillers_opioids15:ADHD9_difficulty_waiting9,0.0194,0.0078,0.0153,1.251,0.25,0.206,0.09313180801638721,0.5941299578292061,0,5,0,
SUD15_Cigarettes15:SCZ15_worry15,-0.0074,0.0046,0.0051,-1.436,0.26,0.333,0.016605689477240615,0.5628509257912795,2,5,40,
SUD15_Snuff15:SCZ15_Talking_fast15,0.0096,0.0037,0.0078,1.225,0.262,0.157,0.12300565408037367,0.6960493399992385,0,5,0,
ACE15_emotional_bullying15,0.0296,0.0173,0.0212,1.379,0.265,0.212,0.01629189642856077,0.6317778516154924,1,5,20,
SUD15_Cigarettes15:PRS_Hippocampal_CA1_3,0.0455,0.0152,0.0387,1.181,0.268,0.342,0.09699551468988576,0.43940917355153797,0,5,0,
SUD15_Alcohol15:SES_birth_country_father,0.0073,0.0051,0.0056,1.289,0.279,0.068,0.04930632264257717,0.8754722887532187,1,5,20,
SCZ15_easily_scared15,0.0059,0.0024,0.005,1.172,0.28,0.297,0.06493626036030964,0.48603513013427135,0,5,0,
ASD9_dislike_change9,0.0099,0.0031,0.0088,1.122,0.285,0.3,0.1297734362952252,0.5106269238550196,0,5,0,
factor(batch)GSA3:PC2,0.6759,1.9107,1.0534,0.477,0.289,0.234,0.03357990315842785,0.7303383067810851,1,5,20,
SUD15_Snuff15:SCZ15_Others_Read_thoughts15,-0.011,0.0062,0.009,-1.222,0.301,0.182,0.04295025040439726,0.7584662494777126,1,5,20,
SUD15_OtherDrugs15:PRS_Eccentric_medium_spiny_neu,0.0586,0.0907,0.0703,0.814,0.302,0.207,0.040200572043018745,0.6158084986169561,1,5,20,
SUD15_Painkillers_opioids15:SCZ15_PROD_seen_hallucinations9,-0.0251,0.0229,0.0268,-1.059,0.304,0.234,0.040543112062029873,0.7323330959829535,1,5,20,
SUD15_Snuff15:PRS_Thalamic_excitatory,0.0559,0.0224,0.0506,1.104,0.304,0.227,0.0979443935260842,0.5962488053286936,0,5,0,
SUD15_Snuff15:ADHD9_easily_distracted9,-0.0158,0.0081,0.0136,-1.188,0.306,0.317,0.030160748763806255,0.5846657199546677,1,5,20,
PRS_Eccentric_medium_spiny_neu,0.0329,0.0065,0.0318,1.033,0.309,0.329,0.19005477782257962,0.4091335701948484,0,5,0,
SUD15_Alcohol15:ADHD9_not_listening9,-0.008,0.0028,0.0076,-1.066,0.313,0.403,0.11241347177428862,0.4396413576969249,0,5,0,
ASD9_absorbed_problems9,-0.0194,0.0076,0.018,-1.084,0.315,0.327,0.08905935129371079,0.5038051414874394,0,5,0,
SCZ15_Seen_hallucinations15,0.0097,0.0061,0.0077,1.264,0.316,0.163,0.040921912862053045,0.9012502346265645,1,5,20,
ADHD9_fail_close_attention9,-0.0104,0.0053,0.0092,-1.125,0.319,0.19,0.0734404765176837,0.7446704810714673,0,5,0,
factor(batch)GSA1:PC2,-0.7109,0.6974,0.8675,-0.817,0.319,0.299,0.11072316496836354,0.5616669034799076,0,5,0,
ADHD9_not_listening9,0.0285,0.01,0.0276,1.036,0.326,0.31,0.15313675813914385,0.5042543120577496,0,5,0,
ADHD9_avoid_mental_effort_tasks9,-0.0085,8e-4,0.0087,-0.98,0.329,0.311,0.28962061181028353,0.388269249816507,0,5,0,
SUD15_Cigarettes15:ASD9_delay_language9,0.0111,0.0053,0.0104,1.057,0.329,0.321,0.11336688477098056,0.6025503255547353,0,5,0,
